Species,CalendarYear,SpeciesType,SACN,Imports,Exports,Consumption,Production,Purchases,UKPOP,Protein_g100g,Omega3_DHAEPA_g100g,VitaminA_ľg100g,VitaminD_ľg100g,VitaminB12_ľg100g,Zinc_mg100g,Iron_mg100g,Calcium_mg100g,Selenium_ľg100g,Iodine_ľg100g
Oyster,2018,Molluscs,Shellfish,382775000,1357967000,NA,701625000,NA,66435600,9.3,0.48,38,3.1,14,42,3.1,22,60,85
Oyster,2011,Molluscs,Shellfish,747393000,1535710000,405894051,260400000,NA,63285100,9.3,0.48,38,3.1,14,42,3.1,22,60,85
Oyster,2015,Molluscs,Shellfish,307102000,1274881000,NA,556663800,NA,65110000,9.3,0.48,38,3.1,14,42,3.1,22,60,85
Oyster,2012,Molluscs,Shellfish,859170000,1558539000,NA,395170500,NA,63705000,9.3,0.48,38,3.1,14,42,3.1,22,60,85
Oyster,2009,Molluscs,Shellfish,308275000,819632000,NA,472800000,NA,62260500,9.3,0.48,38,3.1,14,42,3.1,22,60,85
Oyster,2016,Molluscs,Shellfish,341442000,1616440000,NA,656412000,NA,65648100,9.3,0.48,38,3.1,14,42,3.1,22,60,85
Oyster,2020,Molluscs,Shellfish,138766000,1635505000,NA,544110000,NA,67081000,9.3,0.48,38,3.1,14,42,3.1,22,60,85
Oyster,2017,Molluscs,Shellfish,303484000,1557767000,144281761,684045000,NA,66040200,9.3,0.48,38,3.1,14,42,3.1,22,60,85
Oyster,2013,Molluscs,Shellfish,309308000,924959000,384437830,388973100,NA,64105700,9.3,0.48,38,3.1,14,42,3.1,22,60,85
Oyster,2010,Molluscs,Shellfish,279641000,1013309000,68625576,379965000,NA,62759500,9.3,0.48,38,3.1,14,42,3.1,22,60,85
Oyster,2019,Molluscs,Shellfish,205359000,1077884000,NA,798295200,NA,66796800,9.3,0.48,38,3.1,14,42,3.1,22,60,85
Plaice,2010,Marine,Lean,4753816000,592647000,4249570211,7389011160,NA,62759500,16.4,0.162398536,NA,NA,1.3,0.45,0.1,17,35,31
Plaice,2009,Marine,Lean,6104997000,734082000,2999476183,6660060975,NA,62260500,16.4,0.162398536,NA,NA,1.3,0.45,0.1,17,35,31
Plaice,2020,Marine,Lean,2400516000,3277716000,2281715734,3277583550,NA,67081000,16.4,0.162398536,NA,NA,1.3,0.45,0.1,17,35,31
